what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330272652024
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330287034336
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330287035233
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330288533393
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330288537280
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330288585984
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330288589978
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330289197066
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330289211225
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330289211668
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1330289214431
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330289229362
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330289313341
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330289335884
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330289342553
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330289366611
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330289366680
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1330289372897
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330289373814
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330289384892
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330289388797
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330289409115
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330289415623
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330289417367
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1330289458249
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1330289458408
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1330289460556
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1330289473741
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330289522348
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330289522423
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1330289556783
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330289563733
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330289597329
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330289611931
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330289627095
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330289634190
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330289636682
