what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331213764061
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331213766311
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331213766311
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331213766670
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331213780420
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1331213816529
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1331213816826
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1331213817139
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1331213817467
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1331213817732
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1331213818014
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1331213818342
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1331213818670
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1331213819045
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331213843951
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331213853779
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331213870467
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331213870654
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1331213872967
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1331213875264
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.add.block.comment",1331213905061
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1331213909092
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331213917295
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331213917561
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1331213918701
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1331213932014
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1331213932576
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331213934279
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331213934295
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331213934670
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331214000139
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331214002357
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331214003311
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331214021248
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331214021873
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1331214023920
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331214044670
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215079279
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215080842
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215080857
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215080920
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215200607
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1331215209139
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1331215209592
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215210920
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215210936
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215210998
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215217561
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215225170
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215263545
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1331215267529
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1331215268311
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1331215268545
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215270107
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215354529
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1331215357373
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215397092
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215402076
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1331215402123
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215407561
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215410529
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215410811
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215415498
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215415779
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215419139
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215419420
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215423639
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215426936
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215427248
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215428389
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215429576
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215429732
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215429982
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215432779
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215433389
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1331215435014
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1331215437092
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1331215437561
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215442123
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215452732
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215454936
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215454951
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215455029
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215557514
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1331215559639
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215563607
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215563607
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215563607
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331215565561
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1331215565670
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215587467
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215588170
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1331215590154
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215597326
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215600607
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1331215602217
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215615264
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215617686
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1331215621061
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1331215657076
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1331215669154
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215690779
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215690982
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215693686
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215693889
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215694123
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1331215694326
