what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330895839678
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330895845859
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330895962087
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330895964321
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330895971502
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330895988564
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1330895990242
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1330895993126
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1330895994438
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1330896008657
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1330896010635
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1330896011146
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1330896011673
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1330896012263
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.redo",1330896014221
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1330896015820
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330896016853
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1330896020596
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1330896022576
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330896029011
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330896031158
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330896032197
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1330896036717
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1330896037292
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1330896037502
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.add.block.comment",1330896046366
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1330896050554
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1330896052053
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1330896052561
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330896053847
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330896075369
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330896084518
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330896102034
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1330896123530
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1330896127676
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1330896128182
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1330896128468
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330896130384
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330896132484
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1330896134609
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330896138564
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330896140780
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330896142308
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330896143986
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330896178809
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330896188263
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330896192514
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1330896222849
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330896226286
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330896296252
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1330896310996
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1330896313970
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1330896344125
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1330896344299
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1330896346353
