what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330267538220
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330267547282
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330267559273
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330267599368
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1330267604372
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330267604850
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1330267606025
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330267606411
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330267606581
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330267609130
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1330267611303
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330267613333
closed,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330267620182
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330267620377
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330267620414
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330267623309
activated,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1330267630510
activated,view,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.internal.introview",1330267639366
activated,view,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1330267639422
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330267645980
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330267654549
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330267665297
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330267693106
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330267693387
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330267725062
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330267761045
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330267776722
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330267781372
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330267805150
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330267827318
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330267834605
