what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1330867578654
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330867579559
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1330867581852
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1330867597842
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1330867598778
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1330867600993
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330867614035
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330867756099
activated,editor,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.DefaultTextEditor",1330867757909
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1330867759229
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1330867759929
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1330867760179
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1330867760359
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330867763959
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330867858439
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330867859729
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330867867559
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330867870039
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330867906779
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330867910719
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330867922559
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330868018249
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1330868022279
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1330868027716
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1330868031206
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330868037196
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330868048346
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330868048386
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330868051626
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330868076586
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1330868089506
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1330868090436
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1330868092476
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330868097376
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1330868100826
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330868102306
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330868126476
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.RunLast",1330868131716
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1330868133776
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330868142936
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330868148516
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330868151126
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330869030777
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330869528617
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330869530659
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330869548861
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1330869609017
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1330869609492
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1330869615598
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330869621323
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330869633882
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330869634364
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330869634538
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1330869637384
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1330869658029
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330869659885
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330869669924
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330869689455
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330869690177
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330869702176
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330869702768
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330869715708
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330869731324
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330869754374
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1330869796742
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330869811297
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330869811619
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330869819524
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330869819826
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330869820122
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330869820437
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330869820719
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330869821041
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1330869822582
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330869823749
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330869835756
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330869850864
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330869851160
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330869851454
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330869851733
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330869856706
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330869863117
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330869864349
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330869881160
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330869884367
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330869894891
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330869910774
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1330869914420
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330869918415
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330869934564
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330869944943
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330869975976
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330869977267
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330869995590
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330870002127
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330870002412
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870060010
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870067997
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870088754
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870089073
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1330870101783
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1330870101970
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1330870104064
started,bundle,org.eclipse.mylyn.ide.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ui",1330870150845
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.0.v201004262257,"org.eclipse.jst.ws.jaxws.ui",1330870150927
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1330870150963
started,bundle,org.eclipse.pde.api.tools,1.0.201.v20100602-0930,"org.eclipse.pde.api.tools",1330870151145
started,bundle,org.eclipse.pde.api.tools.ui,1.0.200.v20100601-1815,"org.eclipse.pde.api.tools.ui",1330870151152
started,bundle,org.eclipse.jst.ws.annotations.core,1.0.0.v201004262257,"org.eclipse.jst.ws.annotations.core",1330870151540
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870163383
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870163742
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1330870203526
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1330870203664
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1330870207444
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330870294985
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330870295209
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330870295441
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330870295674
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1330870296097
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870297717
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870315422
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870329020
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870330072
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1330870353018
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1330870353151
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1330870355719
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870360056
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870362521
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870379584
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870381585
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870408566
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870423916
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870459365
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870459673
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870467045
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870467326
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1330870476159
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1330870476321
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1330870479443
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870510152
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870510499
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870533823
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870540106
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870542174
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870556210
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1330870560641
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870562971
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870565330
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1330870573584
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870581285
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870610099
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870625467
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870643222
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1330870657075
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870689485
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870694453
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870708916
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870709291
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870731243
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1330870733109
