what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331496502662
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331496546011
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1331496547034
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1331496547889
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1331496549880
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331496560412
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331496711278
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331496712888
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331497833600
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331497836468
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331497852895
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1331497854817
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1331497855122
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1331497859183
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1331497862319
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331497865613
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331497871513
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1331497872032
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1331497872181
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1331497874142
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1331497896354
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331497906770
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331497910725
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331497955955
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331500850941
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1331500854855
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1331500855166
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1331500855349
