what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331068822823
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331068839347
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331068840237
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331068858497
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1331068858535
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1331068864331
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331069075575
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331069075819
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331069089764
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331069105330
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331069144011
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331069144260
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1331069150533
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331069151918
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331069177130
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1331069238720
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1331069238885
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1331069240675
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1331069271258
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331069272119
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331069283248
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331069328535
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331069364206
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1331069369663
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331069394030
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331069407588
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1331069419733
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1331069422047
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331069423461
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331069427417
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331069450099
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331069464080
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1331069477058
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1331069479653
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331069485754
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331069486958
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1331069523044
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1331069523259
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1331069529496
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1331069532472
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1331069540769
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1331069654121
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331069655067
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1331069662351
