what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1332364523075
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1332364523076
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1332364523076
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1332364523158
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1332364523158
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1332364523160
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1332364523162
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1332364523188
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.0.v201005250108,"org.eclipse.wst.jsdt.debug.ui",1332364523189
os,sysinfo,,,"win32",1332364523195
arch,sysinfo,,,"x86_64",1332364523195
ws,sysinfo,,,"win32",1332364523195
locale,sysinfo,,,"en_GB",1332364523195
processors,sysinfo,,,"2",1332364523196
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1332364523196
java.runtime.version,sysinfo,,,"1.6.0_14-b08",1332364523196
java.specification.name,sysinfo,,,"Java Platform API Specification",1332364523196
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1332364523196
java.specification.version,sysinfo,,,"1.6",1332364523196
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1332364523196
java.version,sysinfo,,,"1.6.0_14",1332364523196
java.vm.info,sysinfo,,,"mixed mode",1332364523196
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1332364523196
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1332364523196
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1332364523196
java.vm.specification.version,sysinfo,,,"1.0",1332364523196
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1332364523196
java.vm.version,sysinfo,,,"14.0-b16",1332364523196
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1332364523452
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.100.v20100503a,"org.eclipse.equinox.p2.updatechecker",1332364523534
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1332364524285
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.100.v201005190114,"org.eclipse.wst.common.project.facet.core",1332364524451
started,bundle,org.eclipse.wst.web,1.1.400.v201005270700,"org.eclipse.wst.web",1332364524469
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1332364524558
started,bundle,org.eclipse.emf.common,2.6.0.v20100614-1136,"org.eclipse.emf.common",1332364525580
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1332364525687
started,bundle,org.eclipse.mylyn.commons.net,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.net",1332364527374
started,bundle,org.eclipse.emf.ecore,2.6.0.v20100614-1136,"org.eclipse.emf.ecore",1332364527652
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1332364527718
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1332364528029
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v20100521-1846,"org.eclipse.emf.ecore.xmi",1332364528169
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1332364528247
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1332364528489
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1332364529209
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1332364529394
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.100.v201004202202,"org.eclipse.jst.common.project.facet.core",1332364529526
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.0.v201005191955,"org.eclipse.jst.ws.jaxrs.core",1332364529563
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1332364531108
